example_type,short_content,true_category,predicted_category,confidence,is_correct
wrong_high_confidence,"Otokar zırhlı da hız kesmedi OTOKAR, savunma sanayisine yönelik ürünlerin satışında bu yıl önemli bir büyüme yakaladı. 10 dammw m M Otokar zırhlı da hız kesmedi Otokar, savunma sanayisine yönelik ürünlerin satışında bu yıl önemli bir büyüme yakaladı. Şirketin bu yılın ocak-eylül dönemindeki zırhlı araç satışları geçen yılın aynı dönemine göre yüzde 53 arttı.f OTOKAR, savunma sanayisine yönelik ürünlerin satışında bu yıl önemli bir büyüme yakaladı. Şirketin bu yılın ocak-eylül dönemindeki zırhlı ",ekonomi,gündem,0.99952054,False
wrong_high_confidence,"Anonymous Türkiye ye ne kadar zarar verdi? 14 Aralık tan beri Türkiye internet alt yapısına saldıran Anonymous, 24 Aralık tan itibaren de bankacılık servislerini DDoS saldırıları ile çökertmeyi başardı. Peki tüm bu zararın boyutu ne kadar? Rusya ile yaşanan savaş uçağı krizi sonunda fiili çatışmaya donuştu. Ancak bu çatışma gerçek dünyada değil, sanal dünyada devam ediyor ve son derece ciddi sonuçları var. Putin in IŞI D konusunda Türkiye yi suçlamasından sonra Türkiye ye sairi ırmaya karar vere",ekonomi,teknoloji,0.9994752,False
correct_high_confidence,"Eğitimde fark yaratmak isteyenlere, izmir Ekonomi Üniversite eğitimi için tercihlerini yapacak gençlere, İzmir Ekonomi Üniversitesi nde deneyimli uzmanlar destek oluyor. İEÜ Konferans Salonu nda kurulan 14 ayrı rehberlik ve bilgilendirme masasında, alanındaki uzman rehber danışmanlar, 60 İEÜ öğrencisi ve tüm akademik birimlerle üniversite adaylarına geleceklerine doğru adım atmaları için yol gösteriyor. 2 Ağustos a dek üniversite bünyesinde oluşturulan İzmir Ekonomi Üniversitesi Tercih Dönemi Da",eğitim,eğitim,0.99936086,True
correct_high_confidence,"Üniversite adayları LYS öncesi moral depoladı TÜRKİYE nin ve Gaziantep in farklı bölgelerinden gelen lise öğrencileri belirli aralıklarla Hasan Kalyoncu Üniversitesini (HKÜ) ziyaret etmeye devam ediyor. Gaziantep TOBB Anadolu İmam Hatip Lisesinden 70 kişilik 12.sınıf öğrenci grubu, rehber öğretmenleri eşliğinde HKÜ yü ziyaret etti. Üniversiteye hazırlık aşamasındaki 12.sınıf öğrencilerine tercihlerinde yardımcı olabilmek ve HKÜ yü daha iyi tanımalarını sağlamak amacıyla gerçekleştirilen gezi pro",eğitim,eğitim,0.99936,True
correct_high_confidence,"KIBRIS İLİM ÜNİVERSİTESİ Kurucu: Ali Özok Rektör: Prof. Dr. Ahmet Bülend Göksel Kuruluş tarihi: 2013 Bulunduğu il: KKTC Girne Akademik birimleri: Hukuk, Eğitim Bilimleri, Sağlık Bilimleri, iktisadi İdari ve Sosyal Bilimler olmak üzere 4 fakültesi, Sağlık Bilimleri Yüksekokulu, 3 MYO su var. Öğrenci sayısı: 570 Akademik personel sayısı: 112 Burs olanakları: Öğretmen veya öğretim üyelerinin çocuklarına yüzde 25, gazi ve polis çocuklarına, TSK mensuplarına, eşlerine ve çocuklarına, T.C. Elçi likler",eğitim,eğitim,0.999355,True
wrong_high_confidence,"Sosyal Sorumluluk Projeleri Boğaziçi Üniversitesi Görme Engelliler Teknoloji Laboratuvarı (GETEM) ve Türk Telekom, Türkiye nin ilk telefon kütüphanesini hayata geçirdi. Telefon Kütüphanesi Projesi ile yüzlerce sesli kitap 0 800 219 91 91 numaralı telefon üzerinden görme engelli Türk Telekom müşterilerine ev telefonları üzerinden ücretsiz olarak r sunuluyor. GETEM ve Türk Telekom işbirliği ile hayata geçen Telefon Kütüphanesi Projesi kapsamında görme engelli Türk Telekom müşterileri GETEM kütüpha",eğitim,teknoloji,0.9995209,False
wrong_high_confidence,11 #v Prof. Dr. M. Temel Yılmaz: Türkiye nin yüzde 63 ü diyabetin farkında değil... Dünya genelinde diyabetin artan hızına karşı farkındalık sağlamak ve diyabetin ölenmesi için her yıl 14 Kasım Dünya Diyabet Günü olarak anılıyor. Türkiye Diyabet Vakfı ve Konsensüs Araştırma ve Danışmanlık şirketi bu önemli gün öncesinde diyabet algısı ve bilincinin ölçülmesi Diyabet Farkındalık Araştırması (DIFA) başlıklı araştırmanın sonuçlarını açıkladı. Diyabeti Durduralım projesi kapsamında gerçekleştirilen ,eğitim,sağlık,0.9993243,False
wrong_high_confidence,"ğ! a ı&tf beşinci durak: Dünyaya yayılmış, Türkiye kökenli ilk ve tek Yoga merkezi olan Yoga Academy, Gerçek Yoga nın tek adresi ve Türkiye nin gururudur! Yoga Academy Cihangir, Avrupa ve İstanbul un kalbinde insanlığa hizmet için kurulmuştur. Amacımız Orijinal Yoga Sistemi tekniklerini topluma sunabilmek ve insanlığın içindeki koşulsuz sevgiyi uyandırabilmektir. Yosa Academy Cihansir Merkez de, Orijinal Yosa Sistemi ni uygulamak isteyenlerin, samimi ve sıcak bir ortama sahip olmalarına çalıştık",eğitim,sağlık,0.9989982,False
correct_high_confidence,"MEGE Teknik: Kablo Takımları, Elektronik Kutular ve Paneller için, Türkiye deki İlk Durağınız MEGE Teknik, havacılık ve savunma platformları için; kablo takı elektronik kutuları ve paneller tasarlayıp üreten bir firmadır. Firma ayrıca, ürün prototipleri hazırlama kabiliyetine de sahi mları, ptir. DEF 2017 MEGE Teknik in yürüttüğü çalışmaların temeltaşını,ASEN9100 ve ilgili havacılık ve savunma gereklilikleriyle tam uyumlu, etkili bir Kalite Yönetim Sistemi oluşturuyor. Bu sistem, şirketin devam ",gündem,gündem,0.99969316,True
correct_high_confidence,"Eurofighter Typhoon un Hava-Yer Etkinliği Arttırılıyor Avrupa nın en buyuk ortak askeri programının ürünü olan ve bugüne kadar aldığı toplam sipariş sayısı 70ü un üzerine çıkan Eurofighter Typhoon, hava-hava kabiliyetlerinin yanı sıra hava-yer kabılıyetlerindeki çıtasını da sürekli yükseltiyor. EADS ye bağlı Cassidıan ispanya firmasından 11 Nısan da yapılan açıklamaya göre; firma tarafından geliştirilen aviyonik sistemler sayesinde. Eurofighter Typhoon un, EGBU-16 hassas gudumlu mühimmatını kull",gündem,gündem,0.99969125,True
correct_high_confidence,"Seri Üretim CİRİT Füzelerinde Goodrich IML I Eylül 2o11 tarihinde yayımladığı basın bülteni ile 7omm [2.75 inç] çapındaki lazer güdümlü CİRİT füzelerinde kullanılacak SİIMUo2 Ataletsel Ölçüm Birimi [IMU] için Roketsan dan ilk üretim siparişini aldığını duyurdu. Başta T129 ATAK helikopteri olmak üzere TSK hizmetindeki taarruz helikopterlerinde kullanılabilecek CİRİT füzesinin hedefine hassas vuruşlar yapmasına imkan tanıyan güdüm sisteminin bir parçası olan Ataletsel Ölçüm Birimleri, Goodrich i P",gündem,gündem,0.99969125,True
wrong_high_confidence,Hacizli araçlara kameralı takip Eskişehir de 170 adet olan ve tamamlandığında 300 e çıkarılacak MOBESE sistemi en çok hacizli ve yakalaması bulunan araçları tespit etti... MOBESE 4G WiMAX teknolojisinin uygulayan ilk Emniyet Müdürlüğü Eskişehir olurken suç ve suçluyla mücadelede de önemli bir adım atıldı. Eylül ayında Eskişehir Valiliği ve Emniyet Müdürlüğü tarafından yapılan MOBESE 4G WiMAX altyapısı ihalesini kazanan İhlas Net ile Valilik arasındaki sözleşme imzalanmıştı. İmzalanan WiMAX altya,gündem,teknoloji,0.99933857,False
wrong_high_confidence,"2 YILDIR YATIRIM YAPIYOR Samsung 5G yi test etti geçer notu aldı Samsung Electronics, Çin Mobil Araştırma Enstitüsü (CMRI) ile birlikte 5G prototip denemesini başarıyla tamamladı. Şirketten yapılan açıklamaya göre, Pekin de gerçekleştirilen 5G deneme testi sırasında, uzaysal modülasyon ve FBMC (Süzgeç Öbeği Çoklu Taşıyıcı) gibi önemli teknolojiler üzerinde çalışıldı. Bu teknolojilerin düşük frekans (3,5 GHz) performansları test edilerek onaylandı. Samsung un ultra-yüksek frekanslı 5G prototip si",gündem,teknoloji,0.9993075,False
wrong_high_confidence,"Michael Richard SCHRAML Sheraton LUGAL Hazırlayan: FJiral TEKİNCE btekince@5avunmahaber.com Soldan Sağa: Baden-Württemberg Eyaleti Başbakan Yardımcısı ve Maliye ve Ekonomi Bakanı Nils Schmid, Baden-VVürttemberg Eyaleti Şarap Güzeli, Bayan Erdmann, Bayan Schmid, Türkiye Cumhuriyeti Dışişleri Bakanlığı Müsteşar Vekili Ahmet Muhtar Gün, Almanya Büyükelçisi Martin Erdmann Almanya Mll Günü nde Yakın İlişkiler Vurgulandı Almanya Milli Günü, 2 Ekim de, Ankara da, Almanya Büyükelçiliği nde düzenlenen bi",gündem,dünya,0.9983901,False
correct_high_confidence,"Mahalle iftarında oruç açtılar Akyazı Ömercikler Mahallesi Çevresini Güzelleştirme ve Yaşatma Derneği tarafından her yıl geleneksel olarak organize edilen Ömercikler Mahallesi rftarı bu yıl da düzenlendi. Kızılay Meydanı nda kurulan iftar sofraları tamamıyla dolarken. Ömercikler Mahallesi sakinleri, geleneksel hale gelen iftar programında buluştu. Çevre camilerin imam hatiplerinin okudukları Kuranı Kerim ve duanın ardından oruçlar açıldı. Mahalle halkının yanı sıra iftar programına Akyazı Beledi",kültürsanat,kültürsanat,0.9988642,True
correct_high_confidence,"Her gün başka mahallede iftar Antalya nın İbradı İlçesi Belediyesi, Ramazan nedeniyle iftar yemeği veriyor. İbradı nm merkez ile Ormana ve Başlar mahallerinde düzenlenen iftar yemeklerinin ardından bu kez de iftar sofrası Ürünlü mahallesinde kuruldu. Program, Düzlen, Masat, Üzümdere ve diğer mahallerde devam edecek. Ramazan süresince sürecek olan Her gün bir mahallede İftar programına vatandaşlar yoğun katılım gösteriyor. İbradı Belediye Başkanı Serkan Küçükuru, eşi ve çocukları ile katıldığı if",kültürsanat,kültürsanat,0.9988593,True
correct_high_confidence,"- uğla nın Bodrum ilçesinin en güzel deniz ve sahiline sahip bölgelerinden Ortakent-Yahşi Mahallesi ndeki bir sahile adını veren develer, yıllardan beri yaz aylarında turizme hizmet veriyor. Camel Beach olarak bilinen sahilde, develerle turistlere tur yaptırılıyor. Denize girmek için plajı tercih edenlerin yanı sıra günübirlik turlarla koya gelenler, karaya çıkıp deve turuna katılıyor, develerle fotoğraf çektiriyor. Turlara en çok İngiliz ve Alman turistler ügi gösteriyor. Deve sahiplerinden Meh",kültürsanat,kültürsanat,0.99885917,True
wrong_high_confidence,"MSPO Fuarında En İyi Stant Tasarımı Ödülü ROKETSAN ın Oldu ıyla da adından 5 söz ettiren ROKETSAN, 6-9 Eylül tarihleri arasında Polonya da düzenlenen MSPO fuarından ödülle döndü. Firmanın standı, 30 ülkeden yaklaşık 600 firmanın katılım sağladığı fuarda, Uluslararası En İyi Stant — Tasarımı ÖdüUTne layık görüldü.",kültürsanat,gündem,0.9995541,False
wrong_high_confidence,"GTA yapımcılarına kafa ayan Cem Şancı cem@level.com.tr Beni Eskiden Bir Kız Çok Üzdü Oyun dünyasını sallayan yeni haberi duymuş olmalısınız Ünlü suç kariyeri yapma oyunu GTA serisinin beşinci oyunu henüz PC Ier için çıkmadı ve pek çok PC oyuncusu GTA V ı bekliyor, biliyorsunuz. Oyunun yapımcıları, GTA V in PC için 27 Ocak 2015 te piyasaya çıkacağını duyurdular ama bununla da yetinmediler ve oyunun aynı zamanda oyuncunun gözünden bakış açısıyla oynanabileceğini de açıkladılar ki işte bu haber ben",kültürsanat,teknoloji,0.9995284,False
wrong_high_confidence,"E KOKULU ÇALAR SAAT Uykunuzun en tatlı yerinde bas bas bağırıp okula işe uçağa yetişmek için kalkmanız gerektiğini söyleyen çalar saatinizle aşk yaşadığınız söylenemez değil mı7 Hadi itiraf edin ondan nefret ediyorsunuz. Ama yalnız değilsiniz. Hatta çalar saatlerden sizden daha çok nefret eden bir arkadaş var ve bakın ne üretmiş7 19 yaşındaki Fransız mühendislik öğrencisi Guillaume Rolland, sabahlan size dar eden çalar saat terörünü en aza İndirmek için Sensorwake ı icat etmiş Bu saat çalmıyor o",kültürsanat,teknoloji,0.99952805,False
correct_high_confidence,"Olay Magazin geri donuyor OLAY MAGAZİN yeni yayın döneminin ST ilk programıyla ekrana iddialı dönüyor. % ir ekran klasiği olan OLAY MAGAZİN, ünlüler dünyasından gündem yaratacak haberleriyle ekranda. Bu hafta yeni yayın döneminin ilk programıyla ekrana gelecek olan OLAY MAGAZİN de ünlülerle yapılan röportajlar, özel . haberler ve birbirinden renkli de taylar yer alıyor. OLAY MAGAZİN f bu akşam 21.30da OLAY TV de.",magazin,magazin,0.99759823,True
correct_high_confidence,"J şamil Sosyetenin ünlü ismi Siren Ertan, önceki akşam annesi Birgül Vardarlı ile Çeşme Koza Restoran da görüntülendi. Baş başa yemek yiyen anne-kız, gece boyunca sohbet etti. Moda tasarımcılığı yapan Siren Ertan, şıklığıyla dikkat çekti.",magazin,magazin,0.99759525,True
correct_high_confidence,"NE OLDU SANA? EMEL Müftüoğlu önceki gün Nişantaşı City s de aracını beklerken objektife takıldı. Görenlerin tanımakta güçlük çektiği şarkıcının, aldığı kilolar dikkat çekti. Bir süre aracını bekleyen şarkıcı, soruları yanıtsız bıraktı. MAGAZİN SERVİSİ",magazin,magazin,0.99759406,True
wrong_high_confidence,"DONANIM HP Star Wars Special Edition Altın 9,5 -10 puan Gümüş 8,5 - 9.4 puan Bronz 7,5 - 8,4 HP Star Wars Special Edition Bunca sene bekledikten sonra Star Wars fırtınasının öyle bir-iki ayda dinmesini beklemiyordunuz herhalde? HP nin yeni ürünü tam bir koleksiyon nesnesi olmuş. Sayfa 91 .",magazin,teknoloji,0.99929774,False
wrong_high_confidence,"Ak Parti nin üç önemli ismi Murat Tek,Alper Altmok ve Murat Saruhan, 15 Temmuz darbe girişiminin yaşandığı gece sokaktaydılar. O efsane gecede demokrasi mücadelesi veren üçlü, darbe girişiminin başarısız olması üzerine tüm yorgunluğu üzerlerinden attılar. İşte o anlarda çekilmiş bir kare.",magazin,siyaset,0.99854434,False
wrong_high_confidence,"Hafta Sonunun Yorgunluğu PASA CAFE DE ATILIR Işıl Günay ve Savaş Ulübay ın müzikleri ile Akdeniz akşamlarını renklendiren Paşa Cafe, gündüzleri açık havada kahvaltı yapmak isteyenlerin de tercihi olmaya devam ediyor. Gece hayalının renkli ismi Paşa Cafe. gündüzleri de doğa ile iç içe olan kafe bölümü ile misafirlerini çeşitli kahvaltı menusu ile ağırlamaya devam ediyor. Güne güzel başlamanıza yardımcı olan Paşa Cafe. güleryüzlü personeli, hızlı servisiyle sevdiklerinizle birlikle ağırlamaktan on",magazin,kültürsanat,0.99810433,False
correct_high_confidence,İnfertilite artıyor mm Modern yaşamın bedelinin farkında mıyız? Uzmanlar modern yaşamın hem kadın hem de erkekler için çocuk sahibi olmayı zorlaştırdığını söylüyor. Bunun yanı sıra kadınların kilo vermesi ve çocuk sahibi olmasında önemli engellerden biri de PCOS olarak bilinen polikistik över sendromu... w w M E D İ N F O ACIBADEM Kadın Doğum günleri İstanbul Maslak Sheraton Otel de yapıldı. Türkiye nin çeşitli yerlerinde görev yapan ve alanında söz sahibi yaklaşık 400 kadın doğum uzmanı topland,sağlık,sağlık,0.99953353,True
correct_high_confidence,"CERRAHİNİN DÜNÜ BUGÜNÜ YARINI röportaj mi ö.Cerrahi Araştırma Kongresi nde Bilimin Gelişimde Cerrahi Araştırmaların Rolü isimli sunumu sadece Sağlık Dergisi izledi. Kongre Başkanı Prof. Dr. Ayhan Kuzu, Cerrahların araştırmacı ruhu sayesinde bilim ileri gidiyor dedi. Türk Cerrahi Derneği tarafından düzenlenen 6. Cerrahi Araştırma Kongresi 8-10 Aralık tarihinde Ankara Sheraton Otel de gerçekleştirildi. Kongre Başkanı Prof. Dr. Ayhan Kuzu Bilimin Gelişimde Cerrahi Araştırmaların Rolü isimli sunumun",sağlık,sağlık,0.999514,True
correct_high_confidence,"Sinek ısırığına doğal Çözümler...1I Bebeklerde sivrisinek ısın nasıl seçer? , Bebek ve küçük çocuklarda yeni oluşmuş bir sivrisinek ısırığına buz uygulanması kaşıntıyı hemen durdurur. Bunun için beze sarılmış buz küpünü 10 saniye ısırığın üzerine koyun. Öte yandan yetişkinler için önerdiğimiz yöntemler de tatbik edilebilir. Bebeklerde sivrisinek ısırıklarının çok büyük bölümü kendi kendine geçiyor. Ancak aşırı şişme olursa çocuklara doktorun tavsiye ettiği anti-alerjen bir şurup vermek durumu dü",sağlık,sağlık,0.9995123,True
wrong_high_confidence,"Chp den diyarbakır a beş kişilik doktor heyeti CHP, Diyarbakır a bir doktor heyeti göndereceğini açıkladı. CHP den yapılan açıklamada, CHP Grup Başkanvekili Özgür Özel in görevlendirmesiyle Ankara Milletvekili Murat Emir, Antalya Milletvekili Dr. Niyazi Nefi Kara, Bursa Milletvekili Orhan Sarıbal, Kayseri Milletvekili Dr. Çetin Arık ile Muğla Milletvekili Prof. Dr. Nurettin Demir den oluşan heyetin, ıı Ocak Pazartesi günü Diyarbakır da incelemelerde bulunacağı bildirildi. Doktor milletvekillerin",sağlık,siyaset,0.99937844,False
wrong_high_confidence,DEŞİFRE #10 TVvTTTER KALBİ Craig Grannell Twltter ın meşhur fav ı gitti yerine like geldi. Eskiden beğendiğiniz bir yazıyı göstermek için yıldıza tıklardık. Tvvitter ın yaptığı güncelleme ile beğendiğimiz iletilere yıldız yerine kalp atıyoruz. Hepimizin bildiği üzere sosyal medyada beğeniler çok önemli. Tvvitter da birçok kullanıcı daha fazla beğeni almak için uğraşıyor. Tvvitter ın ürün müdürü Akarshan Kumar bu değişikliğin arkasında yatanları blog unda paylaştığı yazı ile açıkladı. Daha önce k,sağlık,teknoloji,0.99935526,False
wrong_high_confidence,"Farkmdabk için otizme mavi ışık yak Cıımhuriyet Halk Partisi (CHP) Kayseri Milletvekili (Jetin Ank, otizmli çocukların sesi oldu. 2 Nisan Otizm Farkındalık Günü öncesinde Türkiye Büyük Millet Meclisi nde basın açıklaması yapan Ank, Otizmli çoculdann mesajını kamuoyu ile paylaştı CHP Kayseri Milletveili Çetin Arık, CHP Sağlık Komisyonu adına Türkiye Büyük Millet Meclisi nde bir basın açıklaması yaparak, Otizm konusuna dikkat çekti. Otizmli çocukların gönderdiği ve üze inde Otizme mavi ışık yak ya",sağlık,siyaset,0.9993173,False
correct_high_confidence,"Evüp, Yıldırım] AKP li iç ladin mlletvekili hşörtüleri ile TBvlM Genel Kmılu na girnesiyle ilğli darak değerfendirmede bulunan Sadet Partisi Sakarya 1 Başkanı Eyüp ildınm, karardaki çelişkileri anlattı.2 deYıldırım: Başörtüsü kararı çelişki! AKP li üç kadın milletvekili başörtüleri ile TBMM Genel Kurulu na girmesiyle ilgili olarak değerlendirmede bulunan Saadet Partisi Sakarya İl Başkanı Eyüp Yıldırım, karardaki çelişkileri anlattı. OLABİLİR, OLAMAZ Eyüp Yıldırım, Başörtülü kadınların yapabilece",siyaset,siyaset,0.99951184,True
correct_high_confidence,"Tekirdağ da 8 hakim ve savcı FETÜ den gözaltına alındı Tekirdağ da Fetullahçı Terör Örgütü (FETÖ) soruşturması kapsamında Çorlu, Çerkezköy ve Saray ilçelerinde görev yapan 8 hakim ve savcı gözaltına alındı. Edinilen bilgiye göre, Ankara Cumhuriyet Başsavcılığının 192 hakim ve savcı hakkında yürüttüğü soruşturma kapsamında açığa alınanlara yönelik Kaçakçılık ve Organize Suçlarla Mücadele Şube Müdürlüğü ekipleri tarafından operasyon düzenlendi. Operasyon kapsamında Çorlu, Çerkezköy ve Saray ilçele",siyaset,siyaset,0.9994987,True
correct_high_confidence,"AKP taşeronu ile hesaplaşıyor1 CHP Cezaevleri İnceleme Komisyonu, Emniyet teki 22 Temmuz operasyonuyla ilgili olarak, AKP, kumpas davalarında taşeronluğunu yapanlarla hesaplaşıyor dedi Emniyet teki operasyonla ilgili CHP Cezaevleri İnceleme Komisyonu üyelerince yaprlan ortak açrklamada, AKP nin kumpas davalarında taşeronluğunu yapanlarla lıesaplaşüğı belirtildi. CHP Cezaevi İnceleme ve izleme Komisyonu üyeleri Genel Başkan Yardrmcrsr Veli Ağbaba, Genel Sekreter Yardrmcrsr Özgür Özel, Erzincan Mi",siyaset,siyaset,0.99949753,True
wrong_high_confidence,"Hedefimiz Sırbistan a gitmek NTHA Önümüzdeki günlerde Ankara da yapılacak olan Balkan Şampiyonası milli takım seçmelerine katılacak olan atletizmcileıimiz önce milli takıma tekrar seçilmeyi, ardından da ilimizi ve ülkemizi Sırbistan daki Balkan Şampiyonasında temsil etmeyi hedefliyor. Halen Nevşehir de Kapadokya Kamp Eğitim Merkezinde kampta bulunan atletizmcilerimizden Semih Yıldız, en son italya da elde edilen başarıyı daha üst seviyelere taşımak istediklerini, Sırbistan da yapılacak Balkan Şa",siyaset,spor,0.999537,False
wrong_high_confidence,"GUNLUK Tırnak w i . t i İSRAİL SALDIRILARI ULUSLARARASI CEZA MAHKEMESİNE TAŞINDI Fransız avukat Gilles Devers, İsrail e karşı savaş suçu işlemekten Uluslararası Ceza Mahkemesi ne (UCM) suç duyurusunda bulunduğunu açıkladı. Avukat Devers, Filistin Adalet Bakanlığı adına suç duyurusunda bulunduğunu bildirdi. UCM savcısı Fatou Bensouda nezdinde yapılan suç duyurusu İsrail ordusunun Haziran ve Temmuz 2014 te Filistin de işlediği savaş suçlarını kapsıyor. Avukat Devers, Her gün yeni suçlar işleniyor ",siyaset,dünya,0.99913055,False
